country,countrycode,party,prtylab,prty,year,elcounter,votes,seats,newperc,newsuccess,performance,treat,trperf,dissolved,merged,duration,duration2,electparticipated,whyend,whyenddetail,assembly,Dur,PM,DurPM,Last,DurLast,ToG,PmLast,threshold,elcounter2,established,established2,established3,established4,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,meanthr,newperc1,newperc2,over,newsuccess2,newsuccess3,newsuccess4,newsuccess5,elcounter3,votes2,survival,surv2,surv3,surv4,surv5,alwaystakers,nevertakers,newvotes,newdown,min,max,possible,maxpot,actual,idl5,valid20,valid25,valid30,valid35,valid50,valid70,problems,perfsq,perfcb,perffrth,trperfsq,trperfcb,trperffrth,treated,cntr1,cntr2,cntr3,cntr4,cntr5,cntr6,cntr7,cntr8,cntr9,cntr10,cntr11,cntr12,cntr13,cntr14,cntr15,cntr16,cntr17,cntr18,cntr19,cntr20,cntr21,cntr22,cntr23,cntr24,cntr25,cntr26,cntr27,cntr28,cntr29,cntr30,cntr31,cntr32,cntr33,cntr34,cntr35,cntr36,cntr37,cntr38,newperc1plup20,newperc2plup20,validplup20,perfplaceboup20,newtrplaceboup20,perftrplaceboup20,newperc1plup25,newperc2plup25,validplup25,perfplaceboup25,newtrplaceboup25,perftrplaceboup25,newperc1plup30,newperc2plup30,validplup30,perfplaceboup30,newtrplaceboup30,perftrplaceboup30,newperc1plup35,newperc2plup35,validplup35,perfplaceboup35,newtrplaceboup35,perftrplaceboup35,newperc1pldw20,newperc2pldw20,validpldw20,perfplacebodw20,newtrplacebodw20,perftrplacebodw20,newperc1pldw25,newperc2pldw25,validpldw25,perfplacebodw25,newtrplacebodw25,perftrplacebodw25,newperc1pldw30,newperc2pldw30,validpldw30,perfplacebodw30,newtrplacebodw30,perftrplacebodw30,newperc1pldw35,newperc2pldw35,validpldw35,perfplacebodw35,newtrplacebodw35,perftrplacebodw35,parlpower,parl,lagnewperc,priorparl,priorparl2,priorvts,newsuccessall,thr1,thr2,thr3,thr4,thr5,thr6,thr7,thr8,thr9,thr10,thr11,thr12,thr13,thr14,thr15,parlpowertr,parlpowerperf,parpowerptrpref,validprg,esttr,estperf,estperftr,seatstr,seatsperf,seatstrpref,oldparty,stf,arm,rum,bul,cr,aus,latv,germ,uk,denm,rs,tk,hung,nor,gr,sw,is,slov,cz,alb,it,neth,cyp,lith,bol,peru,est,few20,few25,few30,few35,big,r35,el1,el2,el3,el4,el5,el6,el7,el8,el9,el10,el11,el12,el13,el14,el15,el16,el17,el18,el19,el20,validIK,validIKnew,validIKover,validIKh,newperc1pldwIKh,newperc2pldwIKh,validpldwIKh,perfplacebodwIKh,newtrplacebodwIKh,perftrplacebodwIKh,validIKoverN,validIKoverN_New,validIKoverN_NewHalf,validIKoverN_New_Pl,newperc1plupIK_Over,newperc2plupIK_Over,validIKoverNh,validIKnewN,validIKnewNh,validpldwIKov,perfplacebodwIK,newtrplacebodwIK,perftrplacebodwIK,perfplacebodwIK_2,newtrplacebodwIK_2,perftrplacebodwIK_2,perfplaceboupIK,newtrplaceboupIK,perftrplaceboupIK,perfplaceboupIK_2,newtrplaceboupIK_2,perftrplaceboupIK_2,newperc1plup50,newperc2plup50,validplup50,newperc1pldw50,newperc2pldw50,validpldw50,validpldwIK_gr,newperc1pldwIK_gr,newperc2pldwIK_gr,validplupIK_gr,newperc1plupIK_gr,newperc2plupIK_gr,validplupIK_gr_Over,newperc1plupIK_gr_Over,newperc2plupIK_gr_Over,validSuccessHalfPlUP,perfplaceboupIKhalf,newtrplaceboupIKhalf,validSuccessHalfPlDW,perfplacebodwIKhalf,newtrplacebodwIKhalf,validSuccessHalfPlUP_ov,perfplaceboupIKhalf_ov,newtrplaceboupIKhalf_ov,validSuccessHalfPlDW_ov,perfplacebodwIKhalf_ov,newtrplacebodwIKhalf_ov,oldsuccess,oldover,validtestIK,perftestIK,trtest,perftrtest,validtestIKup,perftestIKup,trtestup,perftrtestup,trpl,trplperf,newalw,validIKdur,elcounter5,validIKoverN_NewHalf_Pl_Below,perfplacebodwIKhalf_Over_New,newtrplacebodwIKhalf_Over_New,inter_over_new_dw_pl,validIKoverN_NewHalf_Pl_UP,perfplaceboupIKhalf_Over_New,newtrplaceboupIKhalf_Over_New,inter_over_new_up_pl,withingroupdown,withingrouptrdown,inter_withon_down,withingroupup,withingrouptrup,inter_withon_up,newalw2,idid3,newnew,new2
Albania,1,PR,PR,5,1992,1,3.1,1,2.720855,5.002861,-0.7899256,0,0,0,0,1,0.8333333,,,,140,1461,0,,1,1461,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.51078,2.720855,,0,4.212936,,28.08624,2.949055,2,5.7,1,1,0,1,1,1,0,5.7,,1,6,6,6,6,5,0,1,1,1,1,1,0,0.6239824,-0.4928997,0.3893541,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.720855,,0,-1.492082,0,0,2.720855,,0,-1.667621,0,0,2.720855,,0,-1.84316,0,0,2.720855,,0,-2.018699,0,0,2.720855,,1,-0.0877696,0,0,,2.720855,1,0.0877694,1,0.0877694,,2.720855,1,0.2633085,1,0.2633085,,2.720855,1,0.4388475,1,0.4388475,0.0071429,,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0056423,0,0,0,0,0,0,-0.7899256,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.373898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,2.720855,1,0.3940516,1,0.3940516,1,1,1,0,,,1,1,1,1,0.2100744,1,0.2100744,1.210074,1,1.210074,-1.789926,0,0,-2.789926,0,0,,,0,,2.720855,1,1,,2.720855,0,2.720855,,0,2.720855,,0,-2.014925,0,1,0.4350744,1,0,-2.149925,0,1,0.5700744,1,,1,1,0.3958545,1,0.3958545,0,-1.929145,0,0,0,0,1,1,1,1,0.4053283,1,0.4053283,0,-2.159451,0,0,1.301854,1,1.301854,3.948555,0,0,1,1,11.36758,-6.364718
Albania,1,PR,PR,5,1996,2,5.7,3,5.002861,4.212936,1.492081,1,1.492081,0,0,1,0.8333333,,,,140,122,0,,1,122,3,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.51078,,5.002861,0,,28.08624,2.949055,,3,2.4,1,0,1,1,,0,0,2.4,,1,6,6,6,6,5,0,0,0,0,1,1,0,2.226307,3.321831,4.956442,2.226307,3.321831,4.956442,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.002861,0,0.7899254,1,0.7899254,,5.002861,1,0.6143864,1,0.6143864,,5.002861,1,0.4388474,1,0.4388474,,5.002861,1,0.2633084,1,0.2633084,,5.002861,0,2.194237,1,2.194237,,5.002861,0,2.369776,1,2.369776,,5.002861,0,2.545316,1,2.545316,,5.002861,0,2.720855,1,2.720855,0.0214286,1,2.720855,1,1,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0214286,0.0319732,0.0319732,0,0,0,0,3,4.476244,4.476244,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.4160271,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,5.002861,0,2.676059,1,2.676059,1,1,0,1,5.002861,,0,1,0,0,2.492081,1,2.492081,3.492081,1,3.492081,0.4920814,1,0.4920814,-0.5079186,0,0,5.002861,,1,,5.002861,0,0,,,1,5.002861,,1,5.002861,,1,0.2670814,1,0,2.717081,1,1,0.1320814,1,0,2.852081,1,2.720855,0,0,2.677861,1,2.677861,1,0.3528615,1,2.677861,1,1.492081,1,1,2,0,2.687335,1,2.687335,1,0.122556,1,0.122556,3.583862,1,3.583862,6.230562,1,6.230562,1,2,11.36758,-7.154643
Albania,1,PR,PR,5,1997,3,2.4,1,4.212936,,0.7021563,1,0.7021563,0,0,1,0.8333333,,,,140,,,,,,,,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51078,,4.212936,1,28.08624,2.949055,,,4,,0,1,1,,,0,0,,,1,6,6,6,6,5,0,1,1,1,1,1,0,0.4930235,0.3461795,0.2430722,0.4930235,0.3461795,0.2430722,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.212936,1,2.86E-07,1,2.86E-07,4.212936,,1,-0.1755387,0,0,4.212936,,1,-0.3510777,0,0,4.212936,,1,-0.5266168,0,0,,4.212936,0,1.404312,1,1.404312,,4.212936,0,1.579851,1,1.579851,,4.212936,0,1.75539,1,1.75539,,4.212936,0,1.930929,1,1.930929,0.0071429,3,5.002861,1,1,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0071429,0.0050154,0.0050154,1,0,0,0,1,0.7021563,0.7021563,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,4.212936,0,1.886134,1,1.886134,1,1,1,1,4.212936,,1,1,1,0,1.702156,1,1.702156,2.702156,1,2.702156,-0.2978437,0,0,-1.297844,0,0,4.212936,,1,,4.212936,0,0,,,1,4.212936,,1,4.212936,,1,-0.5228437,0,0,1.927156,1,1,-0.6578437,0,0,2.062156,1,5.002861,0,0,1.887936,1,1.887936,1,-0.4370636,0,0,1,0.7021563,1,1,3,0,1.89741,1,1.89741,1,-0.6673691,0,0,2.793936,1,2.793936,5.440637,0,0,1,3,11.36758,
Albania,1,PR,PR,5,2005,5,20,11,28.08624,2.949055,24.57546,1,24.57546,0,0,1,0.8333333,,,,140,,,,,,,,2.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.51078,,28.08624,0,,,,,6,2.1,1,,,,,0,0,2.1,,1,6,6,6,6,5,0,0,0,0,0,0,0,603.9532,14842.43,364759.5,603.9532,14842.43,364759.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.08624,0,23.8733,1,23.8733,,28.08624,0,23.69777,1,23.69777,,28.08624,0,23.52223,1,23.52223,,28.08624,0,23.34669,1,23.34669,,28.08624,0,25.27762,1,25.27762,,28.08624,0,25.45316,1,25.45316,,28.08624,0,25.62869,1,25.62869,,28.08624,0,25.80423,1,25.80423,0.0785714,5,,1,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0785714,1.930929,1.930929,0,0,0,0,11,270.3301,270.3301,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.679908,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28.08624,0,25.75944,1,25.75944,0,0,0,0,,,0,0,0,0,25.57546,1,25.57546,26.57546,1,26.57546,23.57546,1,23.57546,22.57546,1,22.57546,,28.08624,0,,28.08624,0,0,,,0,,28.08624,0,,28.08624,0,23.35046,1,0,25.80046,1,0,23.21546,1,0,25.93546,1,,1,0,25.76124,1,25.76124,0,23.43624,1,25.76124,1,24.57546,1,0,5,0,25.77071,1,25.77071,0,23.20593,1,23.20593,26.66724,1,26.66724,29.31394,1,29.31394,1,4,11.36758,-8.418524
Albania,1,PR,PR,5,2009,6,2.1,1,2.949055,,-0.5617249,0,0,0,0,1,0.8333333,,,,140,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51078,2.949055,,1,,,,,,,,,,,,1,0,,,1,6,6,6,6,5,1,1,1,1,1,1,0,0.3155349,-0.1772438,0.0995623,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.949055,,0,-1.263881,0,0,2.949055,,0,-1.43942,0,0,2.949055,,0,-1.614959,0,0,2.949055,,0,-1.790498,0,0,,2.949055,1,0.1404311,1,0.1404311,,2.949055,1,0.3159701,1,0.3159701,,2.949055,1,0.4915091,1,0.4915091,,2.949055,1,0.6670482,1,0.6670482,0.0071429,11,28.08624,1,1,1,,,,,,,,,,,,,,,,,0,-0.0040123,0,0,0,0,0,0,-0.5617249,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,2.949055,1,0.6222523,1,0.6222523,1,1,1,0,,,1,1,1,1,0.4382751,1,0.4382751,1.438275,1,1.438275,-1.561725,0,0,-2.561725,0,0,,,0,,2.949055,1,1,,2.949055,0,2.949055,,0,2.949055,,0,-1.786725,0,1,0.6632751,1,0,-1.921725,0,1,0.7982751,1,28.08624,0,1,0.6240552,1,0.6240552,0,-1.700945,0,0,0,0,1,1,6,1,0.633529,1,0.633529,0,-1.93125,0,0,1.530055,1,1.530055,4.176755,0,0,1,5,11.36758,
Albania,1,PS,PS,1,1992,1,25.7,38,22.55676,17.90498,19.04598,1,19.04598,0,0,1,1,,,,140,,,,,,,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.51078,,22.55676,0,92.50906,58.27895,12.49838,57.29593,2,20.4,1,1,1,1,1,0,0,20.4,,1,6,6,6,6,6,0,0,0,0,0,0,0,362.7495,6908.919,131587.2,362.7495,6908.919,131587.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22.55676,0,18.34383,1,18.34383,,22.55676,0,18.16829,1,18.16829,,22.55676,0,17.99275,1,17.99275,,22.55676,0,17.81721,1,17.81721,,22.55676,0,19.74814,1,19.74814,,22.55676,0,19.92368,1,19.92368,,22.55676,0,20.09922,1,20.09922,,22.55676,0,20.27476,1,20.27476,0.2714286,,,0,0,,56.231,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2714286,5.169624,5.169624,0,0,0,0,38,723.7473,723.7473,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13.27601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22.55676,0,20.22996,1,20.22996,0,0,0,0,,,0,0,0,0,20.04598,1,20.04598,21.04598,1,21.04598,18.04598,1,18.04598,17.04598,1,17.04598,,22.55676,0,,22.55676,0,0,,,0,,22.55676,0,,22.55676,0,17.82098,1,0,20.27098,1,0,17.68598,1,0,20.40598,1,,1,0,20.23176,1,20.23176,0,17.90676,1,20.23176,1,19.04598,1,0,1,0,20.24124,1,20.24124,0,17.67646,1,17.67646,21.13776,1,21.13776,23.78446,1,23.78446,1,1,11.36758,6.537398
Albania,1,PS,PS,1,1996,2,20.4,10,17.90498,92.50906,14.3942,1,14.3942,0,0,1,1,,,,140,122,1,122,1,122,3,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.51078,,17.90498,0,58.27895,12.49838,57.29593,,3,52.7,1,1,1,1,,0,0,52.7,,1,6,6,6,6,6,0,0,0,0,0,0,0,207.1929,2982.376,42928.91,207.1929,2982.376,42928.91,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17.90498,0,13.69204,1,13.69204,,17.90498,0,13.5165,1,13.5165,,17.90498,0,13.34096,1,13.34096,,17.90498,0,13.16542,1,13.16542,,17.90498,0,15.09635,1,15.09635,,17.90498,0,15.27189,1,15.27189,,17.90498,0,15.44743,1,15.44743,,17.90498,0,15.62297,1,15.62297,0.0714286,38,22.55676,1,1,1,54.42879,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0714286,1.028157,1.028157,0,0,0,0,10,143.942,143.942,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,87.88009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17.90498,0,15.57817,1,15.57817,0,0,0,0,,,0,0,0,0,15.3942,1,15.3942,16.3942,1,16.3942,13.3942,1,13.3942,12.3942,1,12.3942,,17.90498,0,,17.90498,0,0,,,0,,17.90498,0,,17.90498,0,13.1692,1,0,15.6192,1,0,13.0342,1,0,15.7542,1,22.55676,0,0,15.57998,1,15.57998,0,13.25498,1,15.57998,1,14.3942,1,0,2,0,15.58945,1,15.58945,0,13.02467,1,13.02467,16.48598,1,16.48598,19.13268,1,19.13268,1,2,11.36758,81.14148
Albania,1,PS,PS,1,1997,3,52.7,101,92.50906,58.27895,88.99828,1,88.99828,0,0,1,1,,,,140,,,,,,,,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51078,,92.50906,0,12.49838,57.29593,,,4,41.5,1,1,1,,,0,0,41.5,,1,6,6,6,6,6,0,0,0,0,0,0,0,7920.693,704928,6.27E+07,7920.693,704928,6.27E+07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,92.50906,0,88.29612,1,88.29612,,92.50906,0,88.12058,1,88.12058,,92.50906,0,87.94505,1,87.94505,,92.50906,0,87.7695,1,87.7695,,92.50906,0,89.70043,1,89.70043,,92.50906,0,89.87597,1,89.87597,,92.50906,0,90.05151,1,90.05151,,92.50906,0,90.22705,1,90.22705,0.7214286,10,17.90498,1,1,1,42.69109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7214286,64.2059,64.2059,0,0,0,0,101,8988.826,8988.826,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,53.64999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,92.50906,0,90.18225,1,90.18225,0,0,0,0,,,0,0,0,0,89.99828,1,89.99828,90.99828,1,90.99828,87.99828,1,87.99828,86.99828,1,86.99828,,92.50906,0,,92.50906,0,0,,,0,,92.50906,0,,92.50906,0,87.77328,1,0,90.22327,1,0,87.63828,1,0,90.35828,1,17.90498,0,0,90.18406,1,90.18406,0,87.85905,1,90.18406,1,88.99828,1,0,3,0,90.19353,1,90.19353,0,87.62875,1,87.62875,91.09006,1,91.09006,93.73676,1,93.73676,1,3,11.36758,46.91137
Albania,1,PS,PS,1,2001,4,41.5,73,58.27895,12.49838,54.76817,1,54.76817,0,0,1,1,,,,140,,,,,,,,2.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.51078,,58.27895,0,57.29593,,,,5,8.9,1,1,,,,0,0,8.9,,1,6,6,6,6,6,0,0,0,0,0,0,0,2999.552,164280,8997314,2999.552,164280,8997314,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58.27895,0,54.06601,1,54.06601,,58.27895,0,53.89048,1,53.89048,,58.27895,0,53.71494,1,53.71494,,58.27895,0,53.5394,1,53.5394,,58.27895,0,55.47033,1,55.47033,,58.27895,0,55.64587,1,55.64587,,58.27895,0,55.8214,1,55.8214,,58.27895,0,55.99694,1,55.99694,0.5214286,101,92.50906,1,1,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5214286,28.55769,28.55769,0,0,0,0,73,3998.076,3998.076,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.869413,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58.27895,0,55.95215,1,55.95215,0,0,0,0,,,0,0,0,0,55.76817,1,55.76817,56.76817,1,56.76817,53.76817,1,53.76817,52.76817,1,52.76817,,58.27895,0,,58.27895,0,0,,,0,,58.27895,0,,58.27895,0,53.54317,1,0,55.99317,1,0,53.40817,1,0,56.12817,1,92.50906,0,0,55.95395,1,55.95395,0,53.62895,1,55.95395,1,54.76817,1,0,4,0,55.96342,1,55.96342,0,53.39864,1,53.39864,56.85995,1,56.85995,59.50665,1,59.50665,1,4,11.36758,1.130797
Albania,1,PS,PS,1,2005,5,8.9,42,12.49838,57.29593,8.987597,1,8.987597,0,0,1,1,,,,140,,,,,,,,2.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.51078,,12.49838,0,,,,,6,40.8,1,,,,,0,0,40.8,,1,6,6,6,6,6,0,0,0,0,0,0,0,80.77689,725.9901,6524.906,80.77689,725.9901,6524.906,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.49838,0,8.28544,1,8.28544,,12.49838,0,8.109901,1,8.109901,,12.49838,0,7.934363,1,7.934363,,12.49838,0,7.758824,1,7.758824,,12.49838,0,9.689753,1,9.689753,,12.49838,0,9.865292,1,9.865292,,12.49838,0,10.04083,1,10.04083,,12.49838,0,10.21637,1,10.21637,0.3,73,58.27895,1,1,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,2.696279,2.696279,0,0,0,0,42,377.4791,377.4791,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,52.66697,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.49838,0,10.17157,1,10.17157,0,0,0,0,,,0,0,0,0,9.987597,1,9.987597,10.9876,1,10.9876,7.987597,1,7.987597,6.987597,1,6.987597,,12.49838,0,,12.49838,0,0,,,0,,12.49838,0,,12.49838,0,7.762597,1,0,10.2126,1,0,7.627597,1,0,10.3476,1,58.27895,0,0,10.17338,1,10.17338,0,7.848377,1,10.17338,1,8.987597,1,0,5,0,10.18285,1,10.18285,0,7.618072,1,7.618072,11.07938,1,11.07938,13.72608,1,13.72608,1,5,11.36758,45.92835
Albania,1,PS,PS,1,2009,6,40.8,65,57.29593,,53.78515,1,53.78515,0,0,1,1,,,,140,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51078,,57.29593,1,,,,,,,,,,,,0,0,,,1,6,6,6,6,6,0,0,0,0,0,0,0,2892.842,155592,8368536,2892.842,155592,8368536,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,57.29593,0,53.08299,1,53.08299,,57.29593,0,52.90746,1,52.90746,,57.29593,0,52.73191,1,52.73191,,57.29593,0,52.55638,1,52.55638,,57.29593,0,54.4873,1,54.4873,,57.29593,0,54.66285,1,54.66285,,57.29593,0,54.83838,1,54.83838,,57.29593,0,55.01392,1,55.01392,0.4642857,42,12.49838,1,1,1,,,,,,,,,,,,,,,,,0.4642857,24.97168,24.97168,0,0,0,0,65,3496.035,3496.035,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,57.29593,0,54.96913,1,54.96913,0,0,0,0,,,0,0,0,0,54.78515,1,54.78515,55.78515,1,55.78515,52.78515,1,52.78515,51.78515,1,51.78515,,57.29593,0,,57.29593,0,0,,,0,,57.29593,0,,57.29593,0,52.56015,1,0,55.01015,1,0,52.42515,1,0,55.14515,1,12.49838,0,0,54.97093,1,54.97093,0,52.64593,1,54.97093,1,53.78515,1,0,6,0,54.9804,1,54.9804,0,52.41562,1,52.41562,55.87693,1,55.87693,58.52363,1,58.52363,1,6,11.36758,
Albania,1,AD,AD,11,1996,2,1.6,0,1.404312,4.739553,-2.106468,0,0,0,0,1,1,,,,140,,,,,,,,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.51078,1.404312,,0,3.51078,6.740698,0.4212936,,3,2.7,1,1,1,1,,0,0,2.7,,2,6,5,6,5,5,0,0,0,0,0,1,0,4.437208,-9.346838,19.68882,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.404312,,0,-2.808624,0,0,1.404312,,0,-2.984163,0,0,1.404312,,0,-3.159702,0,0,1.404312,,0,-3.335241,0,0,1.404312,,0,-1.404312,0,0,1.404312,,0,-1.228773,0,0,1.404312,,0,-1.053234,0,0,1.404312,,1,-0.877695,0,0,0,,,0,0,0,4.99701,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.1105899,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.404312,,1,-0.9224909,0,0,1,1,0,0,,,0,1,0,1,-1.106468,0,0,-0.1064681,0,0,-3.106468,0,0,-4.106468,0,0,,,0,1.404312,,1,1,,1.404312,0,1.404312,,0,1.404312,,0,-3.331468,0,1,-0.8814681,0,0,-3.466468,0,1,-0.7464681,0,,1,1,-0.920688,0,0,0,-3.245688,0,0,0,0,0,1,2,1,-0.9112142,0,0,0,-3.475993,0,0,-0.014688,0,0,2.632012,0,0,0,1,11.36758,-6.628026
